dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
,,8,,N1:3.60,33000403,5.25,8.60,7,8.25
7.75,8.50,,4.50,N1:5.80,33000404,,8.60,8,
6,8.75,,8.25,N1:4.40,33000405,,6,6,
6,8,,4.75,N1:4.40,33000406,,6.80,7.25,
7,8.25,,6,N1:4.20,33000407,,4.60,4.25,
4.75,5.25,,2.75,N1:2.20,33000408,,6.20,5.25,
5,5,,3.50,N1:2.40,33000409,,3.80,4.25,
5,6.75,,2.75,N1:2.80,33000410,,5.80,7.75,
7.25,7.75,,4.25,N1:5.20,33000411,,7.40,8.25,
6,8.75,,5.75,N1:5.20,33000412,,8.60,7.75,
,,4.25,,N1:8.60,33000413,5.50,8.40,6.50,7.75
,,6.75,,N1:4.80,33000414,5.25,8.40,5.25,6.25
8.25,9.25,,6.50,N1:9.60,33000415,,9.80,8.50,
4.50,6.25,,4.75,N1:2.40,33000416,,7.80,5.75,
6.25,8,,5.25,N1:2.40,33000417,,8.20,6.75,
,,9.25,,N1:6.20,33000418,6.75,9.20,6,8.75
8,8.25,,5.25,N1:4.20,33000419,,7.80,6.75,
7.25,8,,4.50,N1:5.40,33000420,,8.20,6.50,
6,8.25,,4,N1:4.20,33000421,,3.40,6.75,
7.25,8.75,,4.50,N1:3.80,33000422,,6.80,7.75,
,,8.25,,N1:6,33000423,7.75,8,8,5
7.25,7,,4.75,N1:6,33000424,,4.40,6.50,
,,9.25,,N1:6,33000425,4.75,9.60,6.50,8.25
6.25,8.50,,3.75,N1:4.40,33000426,,7.40,5.75,
,,7,,N1:4,33000427,3,8.20,6,7
8,8.75,,5.75,N1:6.60,33000428,,8.80,8,
7,8,,3,N1:2.40,33000429,,7.60,7.75,
7,8.50,,4.25,N1:4.60,33000430,,7,6.25,
,,7.75,,N1:4.80,33000431,4.75,7.60,6.50,8
,,5.75,,N1:6.60,33000432,4.50,7.20,7.50,8
6.75,6.50,,2.25,N1:3.60,33000433,,3.80,5.75,
4.75,6.50,,4.25,N1:3.20,33000434,,2.80,3.75,
,,4.75,,N1:7.40,33000435,5.50,9.40,6.25,8
